region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state,posting_date,combined,car_msrp
pullman / moscow,6495,2010,chevrolet,impala,good,6 cylinders,gas,131860,clean,automatic,2G1WB5EN4A1173010,fwd,,sedan,grey,id,2021-04-23 18:33:29+00:00,2010.0 chevrolet impala,24290
greensboro,5200,2010,subaru,outback 2.5i premium,excellent,4 cylinders,gas,210058,clean,automatic,4S4BRCCC6A3343171,4wd,,wagon,white,nc,2021-05-04 20:07:08+00:00,2010.0 subaru outback 2.5i premium,24295
boise,9950,2010,subaru,outback 2.5i premium awd,good,4 cylinders,gas,130816,clean,automatic,4S4BRBBC1A3361007,4wd,mid-size,wagon,grey,id,2021-04-30 19:23:35+00:00,2010.0 subaru outback 2.5i premium awd,24295
wichita,7995,2010,chevrolet,impala,,6 cylinders,gas,156920,rebuilt,automatic,2G1WA5EK1A1160353,fwd,,sedan,red,ks,2021-04-08 20:12:59+00:00,2010.0 chevrolet impala,24330
fargo / moorhead,13995,2010,chevrolet,suburban,,8 cylinders,gas,169713,clean,automatic,1GNUKKE30AR228160,4wd,,,silver,mn,2021-04-21 15:14:07+00:00,2010.0 chevrolet suburban,24440
seattle-tacoma,8999,2010,subaru,outback 2.5i awd 4dr wago,,,gas,154000,clean,other,4S4BRBAC5A3369239,,,wagon,blue,wa,2021-05-03 18:47:06+00:00,2010.0 subaru outback 2.5i awd 4dr wago,24495
dallas / fort worth,5650,2010,dodge,charger,excellent,6 cylinders,gas,159000,clean,automatic,2B3CA3CV1AH276687,rwd,mid-size,sedan,silver,tx,2021-05-01 03:00:21+00:00,2010.0 dodge charger,24590
spokane / coeur d'alene,16975,2010,chevrolet,express,excellent,,gas,149008,clean,automatic,1GCUHAD43A1122733,4wd,,,white,id,2021-05-01 16:00:34+00:00,2010.0 chevrolet express,24655
"st louis, MO",7950,2010,buick,lucerne,excellent,8 cylinders,gas,117000,clean,automatic,1G4HH5E98AU114186,fwd,full-size,sedan,black,il,2021-04-23 16:46:42+00:00,2010.0 buick lucerne,24660
watertown,13995,2010,chevrolet,silverado 2500hd,good,8 cylinders,gas,165000,clean,automatic,1GC4KXBG5AF149999,4wd,full-size,pickup,blue,ny,2021-05-03 19:46:44+00:00,2010.0 chevrolet silverado 2500hd,24705
athens,15990,2010,ford,ranger super cab xlt pickup,good,6 cylinders,gas,48055,clean,other,1FTKR4EE0APA69158,,,pickup,silver,oh,2021-04-24 18:41:20+00:00,2010.0 ford ranger super cab xlt pickup,24905
delaware,5000,2010,gmc,terrain sle,excellent,6 cylinders,gas,155000,clean,automatic,2CTFLDEY0A6355304,fwd,full-size,SUV,silver,de,2021-05-03 15:14:44+00:00,2010.0 gmc terrain sle,24995
wausau,22990,2010,chevrolet,suburban 2500,excellent,8 cylinders,gas,127073,clean,automatic,1GNZKLEG2AR278041,,,SUV,,wi,2021-04-14 20:45:28+00:00,2010.0 chevrolet suburban 2500,24995
lincoln,3800,2010,dodge,avenger r/t,excellent,4 cylinders,gas,98500,clean,automatic,1B3CC5FB1AN184140,fwd,,sedan,black,ne,2021-04-09 22:24:54+00:00,2010.0 dodge avenger r/t,25320
boise,10299,2010,buick,enclave cxl,,6 cylinders,gas,169366,clean,automatic,5GALVBED8AJ177267,4wd,,SUV,black,id,2021-04-30 23:06:10+00:00,2010.0 buick enclave cxl,25325
fresno / madera,21995,2010,jeep,wrangler unlimited sport,good,6 cylinders,gas,125444,clean,other,1J4BA3H12AL100146,4wd,,other,silver,ca,2021-05-04 19:21:15+00:00,2010.0 jeep wrangler unlimited sport,25355
tucson,22995,2010,jeep,wrangler unlimited,excellent,,gas,143300,clean,automatic,1J4BA3H13AL171646,4wd,,SUV,black,az,2021-05-01 21:15:56+00:00,2010.0 jeep wrangler unlimited,25355
akron / canton,23990,2010,jeep,wrangler unlimi,,,gas,121820,clean,automatic,1J4BA3H12AL183870,,,other,white,oh,2021-04-29 15:09:43+00:00,2010.0 jeep wrangler unlimi,25355
cedar rapids,24495,2010,jeep,wrangler unlimi,excellent,6 cylinders,gas,70164,clean,automatic,1J4BA3H17AL119727,4wd,,SUV,silver,ia,2021-04-26 16:47:42+00:00,2010.0 jeep wrangler unlimi,25355
ft myers / SW florida,14990,2010,jeep,wrangler unlimited,excellent,6 cylinders,gas,169845,clean,manual,1J4BA3H19AL125612,4wd,mid-size,SUV,green,fl,2021-04-12 18:30:27+00:00,2010.0 jeep wrangler unlimited,25355
medford-ashland,9998,2010,chevrolet,equinox,,6 cylinders,gas,95152,clean,other,2CNFLNEY0A6391958,4wd,,SUV,brown,or,2021-04-22 15:04:18+00:00,2010.0 chevrolet equinox,25395
new haven,23995,2010,ford,f250,,,diesel,81846,clean,automatic,1FTSX2BR6AEA80811,,,,,ct,2021-04-16 15:05:14+00:00,2010.0 ford f250,25875
baltimore,18995,2010,ford,super duty f-250 srw,,8 cylinders,gas,123536,clean,automatic,1FTSX2B53AEA18795,4wd,,truck,green,md,2021-05-01 20:31:10+00:00,2010.0 ford super duty f-250 srw,25875
bend,546,2010,ford,super duty f-250 srw,,8 cylinders,diesel,127478,clean,automatic,1FTSW2BR5AEA69611,4wd,,truck,,or,2021-04-29 15:07:35+00:00,2010.0 ford super duty f-250 srw,25875
milwaukee,12395,2010,ford,f150 super cab,,8 cylinders,gas,141803,clean,automatic,1FTEX1E89AFB69549,4wd,,pickup,blue,wi,2021-04-16 23:10:55+00:00,2010.0 ford f150 super cab,25885
southern illinois,11995,2010,nissan,titan,good,,gas,125650,clean,automatic,1N6AA0CJ9AN309733,4wd,,pickup,black,il,2021-05-04 18:15:22+00:00,2010.0 nissan titan,26000
pittsburgh,8995,2010,honda,accord ex-l,like new,4 cylinders,gas,111292,clean,automatic,1HGCS1B86AA000226,fwd,mid-size,coupe,grey,pa,2021-04-24 17:29:58+00:00,2010.0 honda accord ex-l,26030
south florida,12000,2010,honda,accord exl coupe,excellent,4 cylinders,gas,65000,clean,automatic,1HGCS1B87AA008531,fwd,,coupe,black,fl,2021-04-30 16:51:27+00:00,2010.0 honda accord exl coupe,26080
salem,6995,2010,toyota,camry hybrid,excellent,4 cylinders,hybrid,195197,clean,automatic,4T1BB3EK3AU119293,fwd,mid-size,sedan,,or,2021-05-02 20:45:12+00:00,2010.0 toyota camry hybrid,26150
jacksonville,16999,2010,ford,f150 xlt,excellent,8 cylinders,gas,133829,clean,automatic,1FTEW1C88AFD62121,,,pickup,red,fl,2021-05-04 19:12:25+00:00,2010.0 ford f150 xlt,26255
rochester,9650,2010,toyota,venza,excellent,4 cylinders,gas,153000,clean,automatic,4T3ZA3BBXAU024713,fwd,,wagon,grey,ny,2021-04-29 03:00:57+00:00,2010.0 toyota venza,26275
grand rapids,7995,2010,dodge,journey,,,gas,100336,clean,automatic,3D4PG5FV6AT266561,fwd,,SUV,,mi,2021-04-23 20:13:12+00:00,2010.0 dodge journey,26295
mansfield,22750,2010,ford,super duty f-350 srw xlt,good,8 cylinders,other,139020,clean,automatic,1FTWW3BR7AEB29184,4wd,,pickup,blue,oh,2021-04-23 10:30:14+00:00,2010.0 ford super duty f-350 srw xlt,26595
finger lakes,7395,2010,dodge,grand caravan,,6 cylinders,gas,101981,clean,,2D4RN6DXXAR462997,,,other,custom,ny,2021-04-11 22:05:42+00:00,2010.0 dodge grand caravan,26730
atlanta,6499,2010,honda,odyssey,good,10 cylinders,gas,170904,clean,automatic,5FNRL3H77AB058076,4wd,full-size,van,grey,ga,2021-05-04 15:51:20+00:00,2010.0 honda odyssey,26805
oklahoma city,8500,2010,honda,odyssey,excellent,6 cylinders,gas,192173,clean,automatic,5FNRL3H59AB055100,fwd,,mini-van,,ok,2021-04-30 21:47:53+00:00,2010.0 honda odyssey,26805
dallas / fort worth,10999,2010,honda,odyssey,,,gas,132424,clean,automatic,5FNRL3H9XAB009133,,,other,,tx,2021-04-30 19:10:00+00:00,2010.0 honda odyssey,26805
mobile,9995,2010,honda,odyssey,excellent,6 cylinders,gas,160964,clean,automatic,5FNRL3H71AB043413,fwd,,mini-van,blue,al,2021-04-29 18:45:36+00:00,2010.0 honda odyssey,26805
SF bay area,8995,2010,honda,odyssey,,,gas,126685,clean,automatic,5FNRL3H41AB070777,,,mini-van,silver,ca,2021-05-03 01:24:57+00:00,2010.0 honda odyssey,26805
indianapolis,10995,2010,honda,odyssey,,,gas,103080,clean,automatic,5FNRL3H63AB009089,fwd,,,silver,in,2021-04-05 13:56:15+00:00,2010.0 honda odyssey,26805
las vegas,11595,2010,honda,accord ex v6,,6 cylinders,gas,167265,clean,automatic,1HGCP3F74AA022689,fwd,,sedan,grey,nv,2021-04-26 18:01:02+00:00,2010.0 honda accord ex v6,26805
"washington, DC",5950,2010,honda,odyssey,,6 cylinders,gas,122906,clean,automatic,5FNRL3H43AB029891,rwd,,van,blue,dc,2021-05-02 15:50:17+00:00,2010.0 honda odyssey,26805
fort collins / north CO,9995,2010,chrysler,town and country,,6 cylinders,gas,88901,clean,automatic,2A4RR7DX9AR398727,fwd,,mini-van,red,co,2021-05-04 14:56:06+00:00,2010.0 chrysler town and country,26990
el paso,5995,2010,buick,lacrosse cx,excellent,6 cylinders,gas,149408,clean,automatic,1G4GB5EG7AF249871,fwd,,,white,tx,2021-05-01 14:09:52+00:00,2010.0 buick lacrosse cx,26995
yakima,9988,2010,buick,enclave,,,gas,128386,clean,automatic,5GALVBED6AJ259370,,,,silver,wa,2021-04-26 13:45:19+00:00,2010.0 buick enclave,26995
"kansas city, MO",6497,2010,dodge,grand caravan,,,gas,165443,clean,automatic,2D4RN5D17AR211697,fwd,,mini-van,white,ks,2021-05-01 21:00:15+00:00,2010.0 dodge grand caravan,26995
denver,10900,2010,chevrolet,suburban 1500,,8 cylinders,gas,205374,clean,,1GNUKJE3XAR227933,,,SUV,custom,co,2021-05-01 16:10:23+00:00,2010.0 chevrolet suburban 1500,27195
SF bay area,6200,2010,ford,fusion hybrid,excellent,4 cylinders,hybrid,133000,clean,automatic,3FADP0L33AR137122,fwd,mid-size,sedan,grey,ca,2021-05-03 21:49:05+00:00,2010.0 ford fusion hybrid,27270
mansfield,7995,2010,mazda,6 gt,excellent,4 cylinders,gas,137341,clean,automatic,1YVHZ8CH8A5M43424,fwd,mid-size,sedan,silver,oh,2021-04-16 13:27:23+00:00,2010.0 mazda 6 gt,27310
cincinnati,5999,2010,ford,edge,,6 cylinders,gas,171461,clean,other,2FMDK3JC0ABA59664,fwd,,SUV,white,oh,2021-04-18 14:32:26+00:00,2010.0 ford edge,27420
seattle-tacoma,8892,2010,ford,edge sel,good,6 cylinders,gas,130221,clean,automatic,2FMDK4JC4ABA33154,,,SUV,,wa,2021-05-04 17:17:33+00:00,2010.0 ford edge sel,27420
dallas / fort worth,4500,2010,ford,edge sel,good,,gas,199000,clean,automatic,2FMDK3JCXABBO9339,,mid-size,SUV,grey,tx,2021-05-01 22:32:56+00:00,2010.0 ford edge sel,27420
reno / tahoe,31000,2010,gmc,sierra 2500hd,excellent,8 cylinders,diesel,184000,clean,automatic,1GT4K1B67AF119195,4wd,full-size,truck,grey,ca,2021-05-01 14:24:53+00:00,2010.0 gmc sierra 2500hd,27465
erie,18776,2010,toyota,4runner,,,gas,101767,clean,automatic,JTEBU5JR6A5013746,,,other,,pa,2021-04-15 18:42:07+00:00,2010.0 toyota 4runner,27500
show low,14000,2010,toyota,venza awd,good,6 cylinders,gas,97949,clean,automatic,4T3BK3BB9AU039945,4wd,mid-size,wagon,grey,az,2021-04-17 20:30:30+00:00,2010.0 toyota venza awd,27725
richmond,12100,2010,honda,pilot,,6 cylinders,gas,141363,clean,automatic,5FNYF4H57AB011704,4wd,,SUV,grey,va,2021-05-02 15:00:38+00:00,2010.0 honda pilot,27895
twin falls,10898,2010,honda,pilot,,,gas,178689,clean,automatic,5FNYF4H60AB024240,4wd,,,,id,2021-04-20 20:00:29+00:00,2010.0 honda pilot,27895
charlottesville,11995,2010,honda,pilot,,,gas,97227,clean,automatic,5FNYF3H44AB017364,fwd,,SUV,silver,va,2021-05-03 13:15:06+00:00,2010.0 honda pilot,27895
cincinnati,9700,2010,honda,pilot 4wd 4dr ex-l,,6 cylinders,,172217,clean,automatic,5FNYF4H54AB033000,4wd,,SUV,,oh,2021-04-29 16:35:19+00:00,2010.0 honda pilot 4wd 4dr ex-l,27895
tulsa,5995,2010,dodge,nitro,,,gas,149816,clean,automatic,1D4PT2GK7AW117312,fwd,,SUV,red,ok,2021-04-30 11:49:59+00:00,2010.0 dodge nitro,27990
des moines,10900,2010,dodge,dakota sxt,,6 cylinders,gas,92047,salvage,automatic,1D7CW3GKXAS265007,4wd,,pickup,silver,ia,2021-04-19 20:42:44+00:00,2010.0 dodge dakota sxt,27995
olympic peninsula,24999,2010,chevrolet,camaro,,8 cylinders,gas,28753,clean,manual,2G1FT1EW6A9106070,rwd,,coupe,black,wa,2021-04-04 17:37:16+00:00,2010.0 chevrolet camaro,28095
"st louis, MO",23980,2010,ram,2500,good,6 cylinders,diesel,203479,clean,manual,3D7UT2CL0AG169965,4wd,full-size,truck,silver,il,2021-04-26 19:57:37+00:00,2010.0 ram 2500,28165
"washington, DC",6900,2010,nissan,murano,excellent,6 cylinders,gas,120389,clean,automatic,JN8AZ1MW4AW128405,4wd,,,silver,dc,2021-05-02 13:51:29+00:00,2010.0 nissan murano,28340
grand island,7000,2010,mercury,milan premier,good,6 cylinders,gas,117534,clean,automatic,3MEHM0JG8AR663691,fwd,compact,sedan,red,ne,2021-05-03 18:31:10+00:00,2010.0 mercury milan premier,28480
chicago,7449,2010,honda,accord ex-l 2.4,excellent,4 cylinders,gas,163386,,automatic,1HGCP2F87AA048268,,,sedan,,il,2021-05-02 14:32:24+00:00,2010.0 honda accord ex-l 2.4,28555
yakima,31995,2010,ford,super duty f-350 drw,,8 cylinders,diesel,92667,clean,automatic,1FTWW3DR1AEA86281,4wd,,truck,white,wa,2021-04-27 14:34:15+00:00,2010.0 ford super duty f-350 drw,28570
eau claire,7899,2010,toyota,rav4,excellent,6 cylinders,gas,190662,clean,automatic,2T3DK4DVXAW034985,4wd,,hatchback,black,wi,2021-05-01 14:04:38+00:00,2010.0 toyota rav4,28675
portland,13996,2010,toyota,rav4,,,gas,137415,clean,automatic,JTMDK4DV2AD017451,4wd,,,red,or,2021-05-03 20:00:41+00:00,2010.0 toyota rav4,28675
richmond,8800,2010,toyota,rav4,,4 cylinders,gas,148977,clean,automatic,2T3ZF4DV8AW041265,fwd,,SUV,blue,va,2021-04-25 16:02:12+00:00,2010.0 toyota rav4,28675
hawaii,9800,2010,mazda,cx-9,excellent,6 cylinders,gas,145000,clean,automatic,JM3TB3MV0A0204546,fwd,full-size,SUV,black,hi,2021-04-28 18:12:44+00:00,2010.0 mazda cx-9,28805
upper peninsula,6995,2010,ford,flex sel fwd,good,6 cylinders,gas,194000,clean,automatic,2FMGK5CC5ABB09982,fwd,full-size,SUV,blue,mi,2021-05-02 11:31:41+00:00,2010.0 ford flex sel fwd,28950
"washington, DC",5995,2010,ford,explorer,,,gas,145500,clean,automatic,1FMEU6DE3AUA11499,fwd,,SUV,red,dc,2021-05-04 18:19:33+00:00,2010.0 ford explorer,29280
hawaii,16999,2010,ford,e-350 passenger van/only 34km,excellent,8 cylinders,gas,34289,clean,automatic,1FBNE3BL5ADA93158,rwd,full-size,,red,hi,2021-04-27 23:00:25+00:00,2010.0 ford e-350 passenger van/only 34km,29440
greensboro,14990,2010,acura,tsx sedan 4d,good,,gas,87352,clean,other,JH4CU2F60AC015492,fwd,,sedan,black,nc,2021-04-12 19:01:37+00:00,2010.0 acura tsx sedan 4d,29610
boise,8999,2010,buick,lacrosse cxl,,6 cylinders,gas,109250,clean,automatic,1G4GD5EG6AF139582,4wd,,sedan,brown,id,2021-04-29 19:51:33+00:00,2010.0 buick lacrosse cxl,29645
cedar rapids,16500,2010,chevrolet,silverado,excellent,8 cylinders,gas,98700,clean,automatic,3GCRKREA4AG215711,4wd,full-size,truck,silver,ia,2021-05-04 01:49:40+00:00,2010.0 chevrolet silverado,29795
columbus,4500,2010,chrysler,town & country,fair,4 cylinders,gas,190000,clean,automatic,2A4RR8DX0AR457296,fwd,full-size,mini-van,blue,oh,2021-05-03 18:44:33+00:00,2010.0 chrysler town & country,29995
ft myers / SW florida,8000,2010,chevrolet,traverse,,,gas,115145,clean,automatic,1GNLRGED1AJ222038,fwd,,SUV,red,fl,2021-04-20 20:25:15+00:00,2010.0 chevrolet traverse,30000
south bend / michiana,9950,2010,volkswagen,tiguan 2.0t wolfsburg,excellent,4 cylinders,gas,103323,clean,automatic,WVGBV7AX5AW515276,4wd,,SUV,silver,in,2021-04-27 14:43:38+00:00,2010.0 volkswagen tiguan 2.0t wolfsburg,30095
sacramento,27995,2010,ford,f-250 super duty,excellent,8 cylinders,diesel,128444,clean,automatic,1FTSX2BR4AEA41621,4wd,,,white,ca,2021-05-04 03:24:30+00:00,2010.0 ford f-250 super duty,30615
south florida,12080,2010,nissan,maxima,,,gas,104046,clean,automatic,1N4AA5AP9AC858471,fwd,,sedan,black,fl,2021-05-01 15:48:34+00:00,2010.0 nissan maxima,30690
des moines,7995,2010,nissan,maxima,excellent,6 cylinders,gas,161425,clean,automatic,1N4AA5AP2AC819737,fwd,,sedan,,ia,2021-04-26 18:56:36+00:00,2010.0 nissan maxima,30690
eugene,12988,2010,jeep,grand cherokee,,,gas,97979,clean,automatic,1J4PR4GK1AC128891,4wd,,SUV,white,or,2021-05-01 21:20:06+00:00,2010.0 jeep grand cherokee,30710
spokane / coeur d'alene,10980,2010,chevrolet,traverse,,6 cylinders,gas,162165,clean,automatic,1GNLVFED9AS139585,4wd,,SUV,silver,id,2021-05-03 01:03:02+00:00,2010.0 chevrolet traverse,30795
nashville,12500,2010,ford,f-150 stx,,8 cylinders,gas,188766,clean,automatic,1FTEX1EW9AFA18810,,,,,tn,2021-05-04 21:40:49+00:00,2010.0 ford f-150 stx,30830
cincinnati,1295,2010,chevrolet,impala ltz,excellent,6 cylinders,gas,127475,clean,automatic,2G1WC5EM2A1153181,fwd,full-size,sedan,red,oh,2021-05-03 14:48:44+00:00,2010.0 chevrolet impala ltz,30875
boise,14950,2010,subaru,outback 3.6r limited,excellent,6 cylinders,gas,50806,clean,automatic,4S4BRDLC4A2362572,4wd,mid-size,wagon,black,id,2021-04-28 17:55:15+00:00,2010.0 subaru outback 3.6r limited,30995
indianapolis,12200,2010,toyota,highlander,excellent,6 cylinders,gas,115010,clean,automatic,5TDJK3EH5A5027367,4wd,full-size,SUV,silver,in,2021-05-02 21:38:54+00:00,2010.0 toyota highlander,31000
knoxville,13115,2010,toyota,highlander,,6 cylinders,gas,131992,clean,automatic,5TDKK3EH0AS017737,fwd,,SUV,silver,tn,2021-04-24 14:10:09+00:00,2010.0 toyota highlander,31000
denver,9977,2010,audi,a4,,,gas,136478,clean,automatic,WAUSFAFL0AA124647,,compact,wagon,,co,2021-05-04 13:50:11+00:00,2010.0 audi a4,31450
long island,10995,2010,audi,a4,excellent,,gas,81980,clean,automatic,WAUBFAFL6AN048294,,,sedan,silver,ny,2021-04-24 10:00:27+00:00,2010.0 audi a4,31450
greenville / upstate,7237,2010,gmc,acadia sle,good,6 cylinders,gas,180968,clean,automatic,1GKLVKED7AJ165209,4wd,mid-size,SUV,brown,sc,2021-04-22 14:48:57+00:00,2010.0 gmc acadia sle,31740
prescott,24000,2010,jeep,wrangler rubicon,like new,6 cylinders,gas,62200,clean,automatic,1J4BA6D15AL146867,4wd,compact,offroad,silver,az,2021-05-03 21:14:53+00:00,2010.0 jeep wrangler rubicon,31995
cincinnati,5999,2010,toyota,avalon,,6 cylinders,gas,195313,clean,other,4T1BK3DB0AU356289,fwd,,sedan,white,oh,2021-04-23 14:33:46+00:00,2010.0 toyota avalon,32245
grand rapids,10995,2010,volvo,xc60 3.2l awd,excellent,6 cylinders,gas,103000,clean,automatic,YV4960DZ0A2078070,4wd,mid-size,SUV,white,mi,2021-04-12 14:16:50+00:00,2010.0 volvo xc60 3.2l awd,32395
chicago,3700,2010,gmc,acadia,,,gas,1,clean,automatic,1GKLRNED3AJ143696,fwd,,wagon,white,il,2021-05-04 15:30:17+00:00,2010.0 gmc acadia,32515
las vegas,20998,2010,toyota,tacoma double cab,,6 cylinders,gas,89910,clean,automatic,3TMJU4GN7AM096127,,,pickup,,nv,2021-05-03 02:01:58+00:00,2010.0 toyota tacoma double cab,32615
jacksonville,11999,2010,jeep,grand cherokee laredo,excellent,6 cylinders,gas,71664,,automatic,1J4PR4GK1AC108317,4wd,,SUV,,nc,2021-04-12 20:04:42+00:00,2010.0 jeep grand cherokee laredo,32680
central NJ,5500,2010,chrysler,t/c,excellent,6 cylinders,gas,165690,clean,automatic,2A4RR5D12AR206774,rwd,full-size,SUV,white,nj,2021-04-22 19:04:42+00:00,2010.0 chrysler t/c,32905
chicago,6500,2010,chevrolet,suburban,,,gas,1,clean,automatic,1GNUKJE3XAR289543,4wd,,SUV,black,il,2021-04-29 22:30:27+00:00,2010.0 chevrolet suburban,32955
seattle-tacoma,9800,2010,ford,flex sel,excellent,6 cylinders,gas,116000,clean,automatic,2FMGK5CC6ABB18285,fwd,,hatchback,silver,wa,2021-05-03 15:43:43+00:00,2010.0 ford flex sel,33000
norfolk / hampton roads,19995,2010,ford,f150 fx4,,,gas,96930,clean,automatic,1FTFW1E84AFD06873,,,other,blue,va,2021-05-04 14:30:49+00:00,2010.0 ford f150 fx4,33000
kalispell,10988,2010,infiniti,g g37x sedan 4d,,6 cylinders,gas,106631,clean,automatic,JN1CV6AR3AM455887,4wd,,sedan,,mt,2021-04-29 15:30:49+00:00,2010.0 infiniti g g37x sedan 4d,33250
grand rapids,10200,2010,honda,accord crosstour ex-l,excellent,6 cylinders,gas,95000,clean,automatic,5J6TF1H37AL014035,fwd,,,silver,mi,2021-05-03 13:55:16+00:00,2010.0 honda accord crosstour ex-l,33350
lubbock,8500,2010,honda,odyssey ex-l,good,6 cylinders,gas,141200,clean,automatic,5FNRL3H79AB102269,fwd,,mini-van,silver,tx,2021-04-16 00:07:05+00:00,2010.0 honda odyssey ex-l,33405
philadelphia,6995,2010,bmw,3-series,excellent,6 cylinders,gas,135500,clean,manual,WBAWB3C56APU90088,rwd,sub-compact,coupe,,pa,2021-04-26 17:31:20+00:00,2010.0 bmw 3-series,33600
treasure coast,8900,2010,cadillac,srx,excellent,6 cylinders,gas,138276,clean,automatic,3GYFNAEY6AS652464,rwd,full-size,SUV,custom,fl,2021-05-01 14:17:59+00:00,2010.0 cadillac srx,33830
anchorage / mat-su,16995,2010,nissan,frontier se 4x4,excellent,6 cylinders,gas,92057,clean,automatic,1N6AD0EV3AC428011,4wd,mid-size,pickup,grey,ak,2021-05-02 05:26:32+00:00,2010.0 nissan frontier se 4x4,33848
hawaii,15995,2010,honda,accord crosstour,,6 cylinders,gas,51529,clean,automatic,5J6TF1H5XAL002589,fwd,,sedan,blue,hi,2021-05-03 19:34:45+00:00,2010.0 honda accord crosstour,34020
bend,12498,2010,bmw,3 series,good,6 cylinders,gas,80462,clean,other,WBAPL3C58AA409242,,,sedan,grey,or,2021-04-26 23:38:04+00:00,2010.0 bmw 3 series,34025
des moines,26990,2010,chevrolet,suburban lt,,,gas,48852,clean,automatic,1GNUKJE35AR181461,,,,,ia,2021-04-16 19:03:02+00:00,2010.0 chevrolet suburban lt,34065
east oregon,9495,2010,lexus,es 350,excellent,6 cylinders,gas,167327,clean,automatic,JTHBK1EGXA2365661,fwd,compact,sedan,grey,or,2021-04-23 03:15:44+00:00,2010.0 lexus es 350,34120
central NJ,7995,2010,mercedes-benz,c-class,good,6 cylinders,gas,104496,clean,automatic,WDDGF8BB7AR131469,4wd,,sedan,silver,nj,2021-04-26 16:55:46+00:00,2010.0 mercedes-benz c-class,34475
central NJ,9955,2010,acura,rdx,,4 cylinders,gas,100230,clean,automatic,5J8TB1H54AA006636,4wd,,SUV,grey,nj,2021-04-19 20:31:05+00:00,2010.0 acura rdx,34520
ft myers / SW florida,41990,2010,chevrolet,corvette grand sport,good,8 cylinders,other,19664,clean,other,1G1YV3DW8A5110392,rwd,,other,white,fl,2021-04-17 11:50:15+00:00,2010.0 chevrolet corvette grand sport,34595
sacramento,9995,2010,mercedes-benz,glk-class,,,gas,144628,clean,automatic,WDCGG8HB1AF324985,,,SUV,red,ca,2021-05-04 19:14:40+00:00,2010.0 mercedes-benz glk-class,34600
chicago,11890,2010,mercedes-benz,glk,,6 cylinders,gas,107835,clean,automatic,WDCGG8HB8AF432570,,,SUV,black,il,2021-05-01 21:06:49+00:00,2010.0 mercedes-benz glk,34600
el paso,13800,2010,mercedes-benz,benz glk,like new,6 cylinders,gas,99149,clean,automatic,WDCGG5GB1AF485451,rwd,full-size,SUV,black,tx,2021-04-30 15:32:38+00:00,2010.0 mercedes-benz benz glk,34600
tucson,8590,2010,mercedes-benz,glk-class,excellent,6 cylinders,gas,158430,clean,automatic,WDCGG8HB5AF322155,4wd,full-size,,black,az,2021-05-01 16:00:45+00:00,2010.0 mercedes-benz glk-class,34600
cincinnati,11900,2010,mercedes-benz,glk-class,,,gas,126407,clean,automatic,WDCGG8HB0AF320474,,,other,silver,oh,2021-05-04 23:05:55+00:00,2010.0 mercedes-benz glk-class,34600
rochester,8900,2010,mercury,mountaineer premier,excellent,8 cylinders,gas,96900,clean,automatic,4M2EN4J82AUJ00706,4wd,,SUV,white,ny,2021-04-14 11:27:24+00:00,2010.0 mercury mountaineer premier,34860
chico,11995,2010,toyota,highlander hybrid,excellent,6 cylinders,hybrid,176459,clean,automatic,JTEJW3EH9A2039612,4wd,,SUV,,ca,2021-04-09 02:55:00+00:00,2010.0 toyota highlander hybrid,34900
phoenix,7995,2010,chevrolet,impala,excellent,6 cylinders,gas,141310,clean,automatic,2G1WC5EM2A1121637,fwd,mid-size,sedan,white,az,2021-05-04 17:58:43+00:00,2010.0 chevrolet impala,34995
boston,10997,2010,acura,tl,excellent,,gas,134250,clean,automatic,19UUA8F51AA000697,fwd,,sedan,brown,ma,2021-04-27 16:52:49+00:00,2010.0 acura tl,35105
norfolk / hampton roads,7995,2010,cadillac,cts,excellent,,gas,93275,clean,automatic,1G6DE5EGXA0102397,rwd,,sedan,silver,va,2021-04-13 16:16:29+00:00,2010.0 cadillac cts,35165
spokane / coeur d'alene,13000,2010,cadillac,cts,good,6 cylinders,gas,64417,clean,automatic,1G6DG5EG4A0119769,4wd,,sedan,silver,id,2021-04-30 02:43:22+00:00,2010.0 cadillac cts,35165
stockton,9995,2010,cadillac,cts,,,gas,116890,clean,automatic,1G6DG5EG3A0138460,,,sedan,red,ca,2021-04-30 18:44:05+00:00,2010.0 cadillac cts,35165
milwaukee,4500,2010,buick,enclave,,,gas,1,clean,automatic,5GALVBED6AJ108254,,,SUV,silver,wi,2021-04-24 21:23:24+00:00,2010.0 buick enclave,35615
billings,17290,2010,chevrolet,avalanche ltz,excellent,8 cylinders,gas,139897,clean,automatic,3GNVKGE05AG156301,4wd,full-size,SUV,blue,mt,2021-04-15 23:06:11+00:00,2010.0 chevrolet avalanche ltz,35725
tucson,8990,2010,infiniti,g37 journey,,,gas,124728,clean,automatic,JN1CV6AP9AM200420,,,sedan,,az,2021-05-04 17:14:41+00:00,2010.0 infiniti g37 journey,35800
richmond,10900,2010,mercedes-benz,glk 350 4matic,excellent,6 cylinders,gas,106000,clean,automatic,WDCGG8HB9AF409265,4wd,mid-size,SUV,custom,va,2021-04-08 19:40:32+00:00,2010.0 mercedes-benz glk 350 4matic,35900
south florida,4990,2010,chrysler,300,,6 cylinders,gas,95914,rebuilt,automatic,2C3CK5CV0AH161882,,,sedan,white,fl,2021-05-03 13:02:44+00:00,2010.0 chrysler 300,36595
